Dense Rank,Standard Rank,Username,Display Name,Match_1_Team_Short,Match_1_Points,Match_2_Team_Short,Match_2_Points,Match_3_Team_Short,Match_3_Points,Match_4_Team_Short,Match_4_Points,Match_5_Team_Short,Match_5_Points,Match_6_Team_Short,Match_6_Points,Match_7_Team_Short,Match_7_Points,Match_8_Team_Short,Match_8_Points,Match_9_Team_Short,Match_9_Points,Match_10_Team_Short,Match_10_Points,Total_Points
14,27,static_25,Static,RCB,1.0,KKR,0.0,CSK,0.0,GT,1.0,RCB,0.0,CSK,0.0,GT,0.0,SRH,1.5,RR,0.0,DC,0.0,3.5
14,27,vahgar,Allen The Alien,RCB,1.0,KKR,0.0,PBKS,1.5,RR,0.0,RCB,0.0,KKR,1.0,GT,0.0,PBKS,0.0,RR,0.0,---,0.0,3.5
15,31,csharp21,CSharp,MI,0.0,---,0.0,---,0.0,---,0.0,DC,1.0,CSK,0.0,---,0.0,---,0.0,RCB,2.0,DC,0.0,3.0
15,31,darkwolf_newbie,Darkwolf,RCB,1.0,KKR,0.0,---,0.0,GT,1.0,DC,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,3.0
15,31,max._.caulfield,Max,RCB,1.0,---,0.0,---,0.0,GT,1.0,RCB,0.0,KKR,1.0,GT,0.0,PBKS,0.0,RR,0.0,DC,0.0,3.0
15,31,pkmkb6011,Sunny Paaji,RCB,1.0,KKR,0.0,---,0.0,---,0.0,RCB,0.0,---,0.0,---,0.0,---,0.0,RCB,2.0,DC,0.0,3.0
16,35,jubilant_chipmunk_76062,,,,,,PBKS,1.5,GT,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,2.5
17,36,deadshot06.,,,,,,,,,,,,,,,,,,RCB,2.0,---,0.0,2.0
17,36,fawaz4413,,,,KKR,0.0,CSK,0.0,GT,1.0,RCB,0.0,KKR,1.0,GT,0.0,PBKS,0.0,---,0.0,---,0.0,2.0
17,36,harish_datta_,Harish_datta_,MI,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,RR,0.0,MI,2.0,2.0
17,36,jerry0_o,Jerry0_0,,,,,,,,,RCB,0.0,---,0.0,---,0.0,---,0.0,RCB,2.0,DC,0.0,2.0
17,36,kakashi019805,Kakashi,,,,,,,,,,,,,,,,,RCB,2.0,DC,0.0,2.0
18,41,cdgamers14,cdgamers😎,,,KKR,0.0,PBKS,1.5,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.5
18,41,iamzeus,iAmZeus,,,KKR,0.0,PBKS,1.5,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.5
18,41,lelouch1806,lelouch,,,,,PBKS,1.5,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.5
19,44,1nv1nc1b1e18,Him.,RCB,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
19,44,_simplet0n,ZePHyR,RCB,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
19,44,nullpixel96,Nullpixel96,,,,,,,,,,,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
20,47,.agentvic,agentVic,,,,,,,,,,,,,,,,,,,DC,0.0,0.0
20,47,croco_boya,Croco,MI,0.0,KKR,0.0,CSK,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
20,47,gamerpradosh,Gamer Pradosh,,,,,,,,,,,CSK,0.0,GT,0.0,PBKS,0.0,---,0.0,---,0.0,0.0
20,47,gane_sh,Gane_sh,,,,,,,,,RCB,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
20,47,soul_999.,SOUL_999,,,,,,,,,,,,,,,PBKS,0.0,---,0.0,---,0.0,0.0
